(0.00, 0.00)
(-17.88, -5.80)
(-32.46, -20.48)
(-43.52, -32.50)
(-54.78, -39.14)
(-19.02, -47.01)
(-21.66, -68.21)
(-22.58, -81.68)
(-23.17, -92.68)
(-8.28, -49.02)
(-8.23, -72.77)
(-8.13, -87.52)
(-7.96, -99.68)
(2.24, -46.77)
(3.47, -69.91)
(4.39, -83.94)
(4.96, -95.49)
(12.69, -41.23)
(18.12, -57.48)
(21.86, -67.83)
(24.78, -77.07)

(0.00, 0.00)
(17.04, -5.96)
(31.76, -19.40)
(43.84, -29.55)
(54.37, -35.51)
(17.53, -45.46)
(20.49, -64.92)
(23.09, -77.92)
(25.42, -89.31)
(5.62, -48.45)
(5.67, -70.98)
(7.29, -86.54)
(8.65, -99.63)
(-5.36, -46.59)
(-8.49, -68.31)
(-9.01, -82.95)
(-9.10, -94.89)
(-15.12, -40.21)
(-24.10, -56.48)
(-29.79, -67.50)
(-34.03, -78.05)
